"","values","study_name","type","year"
"1",1.15,"Aldrin et al. 2012","instrumental",2012
"2",3.45,"Aldrin et al. 2012","instrumental",2012
"3",1.98,"Aldrin et al. 2012","instrumental",2012
"4",2.1,"Anagnostou et al. 2016","paleo",2016
"5",4.6,"Anagnostou et al. 2016","paleo",2016
"6",3.6,"Anagnostou et al. 2016","paleo",2016
"7",1.3,"Andreae et al. 2005","constrained models",2005
"8",10,"Andreae et al. 2005","constrained models",2005
"9",2,"Andreae et al. 2005","constrained models",2005
"10",2.1,"Andrews et al. 2012","models",2012
"11",4.7,"Andrews et al. 2012","models",2012
"12",3.37,"Andrews et al. 2012","models",2012
"13",2.2,"Andrews et al. 2015","models",2015
"14",6,"Andrews et al. 2015","models",2015
"15",3.6,"Andrews et al. 2015","models",2015
"16",1,"Andronova and Schlesinger 2001","combination",2001
"17",9.3,"Andronova and Schlesinger 2001","combination",2001
"18",2,"Andronova and Schlesinger 2001","combination",2001
"19",1.7,"Annan and Hargreaves 2006","combination",2006
"20",4.9,"Annan and Hargreaves 2006","combination",2006
"21",2.9,"Annan and Hargreaves 2006","combination",2006
"22",0.5,"Annan and Hargreaves 2015","paleo",2015
"23",4,"Annan and Hargreaves 2015","paleo",2015
"24",2.5,"Annan and Hargreaves 2015","paleo",2015
"25",4.39,"Annan et al. 2005","paleo",2005
"26",6.45,"Annan et al. 2005","paleo",2005
"27",5.44,"Annan et al. 2005","paleo",2005
"28",1.7,"Armour 2017","instrumental",2017
"29",7.1,"Armour 2017","instrumental",2017
"30",2.9,"Armour 2017","instrumental",2017
"31",0.95,"Bates 2016","instrumental",2016
"32",1.05,"Bates 2016","instrumental",2016
"33",1,"Bates 2016","instrumental",2016
"34",1.7,"Bender et al. 2010","constrained models",2010
"35",4.1,"Bender et al. 2010","constrained models",2010
"36",2.7,"Bender et al. 2010","constrained models",2010
"37",1.5,"Bengtsson and Schwartz 2013","instrumental",2013
"38",2.5,"Bengtsson and Schwartz 2013","instrumental",2013
"39",2,"Bengtsson and Schwartz 2013","instrumental",2013
"40",1.5,"Bodman et al. 2013","constrained models",2013
"41",5.2,"Bodman et al. 2013","constrained models",2013
"42",3.1,"Bodman et al. 2013","constrained models",2013
"43",2.3,"Brient and Schneider 2016","constrained models",2016
"44",5,"Brient and Schneider 2016","constrained models",2016
"45",4,"Brient and Schneider 2016","constrained models",2016
"46",3,"Brown and Caldeira 2017","constrained models",2017
"47",4.2,"Brown and Caldeira 2017","constrained models",2017
"48",3.7,"Brown and Caldeira 2017","constrained models",2017
"49",2.22,"Caballero and Huber 2013","paleo",2013
"50",10,"Caballero and Huber 2013","paleo",2013
"51",3,"Caballero and Huber 2013","paleo",2013
"52",2.07,"Caldwell et al. 2016","models",2016
"53",4.58,"Caldwell et al. 2016","models",2016
"54",3.31,"Caldwell et al. 2016","models",2016
"55",1.778,"Cawley et al. 2015","instrumental",2015
"56",4.38,"Cawley et al. 2015","instrumental",2015
"57",2,"Cawley et al. 2015","instrumental",2015
"58",1.5,"Chung and Soden 2015","models",2015
"59",3.4,"Chung and Soden 2015","models",2015
"60",2,"Chung and Soden 2015","models",2015
"61",1.3,"Chylek and Lohmann 2008","paleo",2008
"62",2.3,"Chylek and Lohmann 2008","paleo",2008
"63",1.8,"Chylek and Lohmann 2008","paleo",2008
"64",1.07,"Chylek et al. 2007","instrumental",2007
"65",1.77,"Chylek et al. 2007","instrumental",2007
"66",1.555555,"Chylek et al. 2007","instrumental",2007
"67",2.1,"CMIP3","models",2007
"68",4.4,"CMIP3","models",2007
"69",3.15,"CMIP3","models",2007
"70",1.9,"CMIP5","models",2013
"71",4.8,"CMIP5","models",2013
"72",3.1,"CMIP5","models",2013
"73",2.2,"Cox et al 2018","constrained models",2018
"74",3.4,"Cox et al 2018","constrained models",2018
"75",2.8,"Cox et al 2018","constrained models",2018
"76",2.16,"Dessler 2013","models",2013
"77",4.56,"Dessler 2013","models",2013
"78",2.94,"Dessler 2013","models",2013
"79",2.4,"Dessler and Forster 2018","constrained models",2018
"80",4.5,"Dessler and Forster 2018","constrained models",2018
"81",3.3,"Dessler and Forster 2018","constrained models",2018
"82",3.05,"Donohoe et al. 2014","instrumental",2014
"83",3.15,"Donohoe et al. 2014","instrumental",2014
"84",3.1,"Donohoe et al. 2014","instrumental",2014
"85",0,"Edwards et al. 2007","paleo",2007
"86",10,"Edwards et al. 2007","paleo",2007
"87",5,"Edwards et al. 2007","paleo",2007
"88",3.3,"Fasullo and Trenberth 2012","constrained models",2012
"89",4.5,"Fasullo and Trenberth 2012","constrained models",2012
"90",4,"Fasullo and Trenberth 2012","constrained models",2012
"91",1.4,"Forest et al. 2002","constrained models",2002
"92",7.7,"Forest et al. 2002","constrained models",2002
"93",3.5,"Forest et al. 2002","constrained models",2002
"94",2.1,"Forest et al. 2006","instrumental",2006
"95",8.9,"Forest et al. 2006","instrumental",2006
"96",4.1,"Forest et al. 2006","instrumental",2006
"97",2.1,"Forest et al. 2008","models",2008
"98",5,"Forest et al. 2008","models",2008
"99",3,"Forest et al. 2008","models",2008
"100",1.05,"Forster 2016","instrumental",2016
"101",5.3,"Forster 2016","instrumental",2016
"102",2.95,"Forster 2016","instrumental",2016
"103",1,"Forster and Gregory 2006","instrumental",2006
"104",4.1,"Forster and Gregory 2006","instrumental",2006
"105",1.6,"Forster and Gregory 2006","instrumental",2006
"106",2.1,"Forster and Taylor 2006","models",2006
"107",3.36,"Forster and Taylor 2006","models",2006
"108",2.7,"Forster and Taylor 2006","models",2006
"109",1.95,"Forster et al. 2013","models",2013
"110",4.55,"Forster et al. 2013","models",2013
"111",3.22,"Forster et al. 2013","models",2013
"112",1.2,"Frame et al. 2005","instrumental",2005
"113",5.2,"Frame et al. 2005","instrumental",2005
"114",2.3,"Frame et al. 2005","instrumental",2005
"115",4.29,"Friedrich et al. 2016","paleo",2016
"116",1.52,"Friedrich et al. 2016","paleo",2016
"117",5.44,"Friedrich et al. 2016","paleo",2016
"118",2.04,"Friedrich et al. 2016","paleo",2016
"119",4.88,"Friedrich et al. 2016","paleo",2016
"120",1.78,"Friedrich et al. 2016","paleo",2016
"121",2.15,"Geoffroy et al. 2013a","models",2013
"122",4.55,"Geoffroy et al. 2013a","models",2013
"123",3.25,"Geoffroy et al. 2013a","models",2013
"124",1.95,"Geoffroy et al. 2013b","models",2013
"125",5.55,"Geoffroy et al. 2013b","models",2013
"126",3.5,"Geoffroy et al. 2013b","models",2013
"127",1.6,"Gregory et al. 2002","instrumental",2002
"128",10,"Gregory et al. 2002","instrumental",2002
"129",2.1,"Gregory et al. 2002","instrumental",2002
"130",0.69,"Harde 2017","models",2017
"131",0.71,"Harde 2017","models",2017
"132",0.7,"Harde 2017","models",2017
"133",1.9,"Hargreaves and Annan 2016","paleo",2016
"134",3.7,"Hargreaves and Annan 2016","paleo",2016
"135",3,"Hargreaves and Annan 2016","paleo",2016
"136",0.8,"Hargreaves et al. 2012","paleo",2012
"137",4,"Hargreaves et al. 2012","paleo",2012
"138",2.3,"Hargreaves et al. 2012","paleo",2012
"139",2.4,"Harris et al. 2013","constrained models",2013
"140",4.3,"Harris et al. 2013","constrained models",2013
"141",3.3,"Harris et al. 2013","constrained models",2013
"142",1.4,"Harrison et al. 2015","paleo",2015
"143",4.4,"Harrison et al. 2015","paleo",2015
"144",4,"Harrison et al. 2015","paleo",2015
"145",1,"Harvey and Kaufmann 2002","instrumental",2002
"146",3,"Harvey and Kaufmann 2002","instrumental",2002
"147",2,"Harvey and Kaufmann 2002","instrumental",2002
"148",1.5,"Hegerl et al. 2006","combination",2006
"149",6.2,"Hegerl et al. 2006","combination",2006
"150",2.5,"Hegerl et al. 2006","combination",2006
"151",2,"Heydt et al. 2014","paleo",2014
"152",3.5,"Heydt et al. 2014","paleo",2014
"153",2.5555,"Heydt et al. 2014","paleo",2014
"154",2.2,"Heydt et al. 2016","paleo",2016
"155",7,"Heydt et al. 2016","paleo",2016
"156",3,"Heydt et al. 2016","paleo",2016
